col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-2787,10/06/2025 1:24 AM,10/05/2025 11:05 PM - 10/05/2025 11:17 PM,Larceny,Gramercy Green Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-10-06
2025-2796,10/06/2025 3:55 PM,10-03-2025 - 10/03/2025 11:55 AM,Larceny,726 Broadway,Washington Square,A student reported a Larceny.,Open,2025-10-06
03139-2025,10/07/2025 10:49 PM,09-06-2025 - 10/02/2025 4:30 AM,Criminal Mischief,Brittany Residence Hall,Washington Square,A student reported Criminal Mischief.,Closed/Referred to Office of Student Conduct & Community Standards,2025-10-07
2025-2823,10/07/2025 9:34 PM,10/07/2025 9:20 PM - 10-07-2025,Harassment,19 West 4th Street - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-07
2025-2822,10/07/2025 8:06 PM,10/07/2025 8:06 PM - 10/07/2025 8:14 PM,Criminal Mischief,8 Washington Place - Exterior,Washington Square,A staff member reported Criminal Mischief.,Closed/Referred to NYPD,2025-10-07
2025-2815,10/07/2025 3:35 PM,10/07/2025 3:16 PM - 10/07/2025 3:35 PM,Harassment,Schwartz Hall,Kips Bay,A staff member reported Harassment. x2,Open,2025-10-07
2025-2814,10/07/2025 2:14 PM,09-16-2025 - 10/06/2025 12:00 PM,Burglary,Rufus D. Smith Hall,Washington Square,A staff member reported a Burglary.,Open,2025-10-07
2025-2812,10/07/2025 2:08 PM,10/01/2025 10:45 AM - 10-01-2025,Harassment,Schwartz Hall,Kips Bay,A student reported Harassment.,Open,2025-10-07
2025-2810,10/07/2025 12:25 PM,10/07/2025 12:25 PM - 10/07/2025 12:26 PM,Criminal Mischief,King Juan Carlos Center,Washington Square,A staff member reported Criminal Mischief.,Open,2025-10-07
2025-2825,10/08/2025 12:06 AM,10/05/2025 12:18 AM - 10-05-2025,Harassment,Founders Residence Hall,Washington Square,A student reported Harassment.,Open,2025-10-08
2025-2830,10/08/2025 12:31 PM,10/08/2025 12:20 PM - 10/08/2025 12:38 PM,Criminal Trespass,Meyer Hall,Washington Square,A staff member reported a Criminal Trespass.,Open,2025-10-08
2025-2833,10/08/2025 2:55 PM,09-14-2025 - 10/05/2025 12:28 PM,Criminal Mischief,Academic Resource Center,Washington Square,A staff member reported Criminal Mischief.,Open,2025-10-08
2025-2836,10/08/2025 5:18 PM,10-06-2025 - 10-06-2025,Larceny,Shimkin Hall,Washington Square,A student reported a Larceny.,Open,2025-10-08
2025-2841,10/09/2025 9:24 AM,10-09-2025- 10-09-2025,Harassment,Gould Plaza,Washington Square,A student reported Harassment.,Open,2025-10-09
2025-2842,10/09/2025 9:40 AM,10/09/2025 9:20 AM - 10-09-2025,Harassment,Warren Weaver Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-09
2025-2848,10/09/2025 2:00 PM,10/09/2025 2:00 PM - 10-09-2025,Harassment,Shimkin Hall,Washington Square,A student reported Harassment.,Open,2025-10-09
03155-2025,10/09/2025 11:56 AM,10/09/2025 12:52 AM - 10-09-2025,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/Referred to Office of Student Conduct & Community Standards,2025-10-09
2025-2861,10/10/2025 6:00 PM,10/10/2025 3:30 PM - 10/10/2025 5:45 PM,Larceny,Founders Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-10-10
2025-2863,10/10/2025 11:14 PM,10/10/2025 11:11 PM - 10/10/2025 11:14 PM,Criminal Trespass,725 Broadway,Washington Square,A campus safety officer reported a Criminal Trespass.,Open,2025-10-10
2025-2859,10/10/2025 2:53 PM,10/10/2025 3:10 PM - 10/10/2025 3:20 PM,Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,A staff member reported a Falsely Reported Incident.,Open,2025-10-10
2025-2856,10/10/2025 12:19 PM,10/09/2025 5:45 PM - 10/09/2025 8:30 PM,Larceny,Kaufman Management Center,Washington Square,A student reported a Larceny.,Open,2025-10-10
2025-2869,10/11/2025 9:58 AM,10/11/2025 8:55 AM - 10/11/2025 9:43 AM,Dating Violence,Founders Residence Hall,Washington Square,A campus safety officer reported Dating Violence.,Closed/Referred to Office of Student Conduct & Community Standards,2025-10-11
2025-2877,10/12/2025 1:41 AM,10/12/2025 1:20 AM - 10/12/2025 3:35 AM,Dating Violence,Lafayette Residence Hall,Washington Square,A student reported Dating Violence.,Closed/Referred to NYPD,2025-10-12
2025-2881,10/12/2025 6:05 AM,10/12/2025 6:05 AM - 10/12/2025 6:09 AM,Criminal Mischief,719 Broadway - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-10-12
2025-2894,10/13/2025 8:53 AM,10-07-2025 - 10-11-2025,Larceny,Skirball Theater,Washington Square,A staff member reported a Larceny.,Open,2025-10-13
2025-2898,10/13/2025 9:49 PM,10/13/2025 9:00 PM - 10/13/2025 9:30 PM,Larceny,Carlyle Court Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-10-13
2025-2900,10/14/2025 12:32 AM,10/14/2025 12:24 AM - 10/14/2025 1:13 AM,Criminal Mischief,Lipton Residence Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-10-14
2025-2906,10-14-2025 11:12 AM,10/14/2025 10:15 AM - 10/14/2025 10:29 AM,Simple Assault,West 3rd Street and Thompson Street,Washington Square,A student reported Simple Assault.,Open,2025-10-14
2025-2914,10/14/2025 5:50 PM,10/14/2025 10:00 AM - 10/14/2025 1:00 PM,Larceny,Kimmel Center,Washington Square,A student reported a Larceny.,Open,2025-10-14
2025-2917,10/15/2025 9:54 AM,10/10/2025 11:10 PM - 10-10-2025,Harassment,Weinstein Residence Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-15
2025-2923,10/15/2025 4:15 PM,10/15/2025 4:10 PM - 10-15-2025,Harassment,232 Mercer Street - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-15
03263-2025,10/15/2025 6:26 PM,10/10/2025 9:40 PM - 10/10/2025 11:20 PM,Larceny,Alumni Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-10-15
2025-2936,10/16/2025 3:55 PM,10/16/2025 3:52 PM - 10/16/2025 4:00 PM,Larceny,Leslie E-Lab,Washington Square,A student reported a Larceny.,Open,2025-10-16
2025-2942,10/16/2025 8:50 PM,10/16/2025 8:38 PM - 10/16/2025 8:38 PM,Harassment,University Residence Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-16
2025-2937,10/16/2025 5:06 PM,10/16/2025 2:35 PM - 10/16/2025 2:40 PM,Larceny,Washington Square Park,Washington Square,A student reported a Larceny.,Open,2025-10-16
2025-2935,10/16/2025 4:02 PM,10/16/2025 4:00 PM - 10/16/2025 4:07 PM,Criminal Mischief,Vanderbilt Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-10-16
2025-2930,10/16/2025 10:39 AM,10/16/2025 10:39 AM - 10/16/2025 10:47 AM,Falsely Reporting an Incident.,111 2nd Avenue,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Open,2025-10-16
2025-2931,10-16-2025 11:13 AM,10/09/2025 9:30 PM - 10/13/2025 10:00 PM,Larceny,Tisch Hall,Washington Square,A student reported a Larceny.,Open,2025-10-16
2025-2950,10/17/2025 9:07 AM,10/17/2025 8:50 AM,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Open,2025-10-17
2025-2956,10/17/2025 11:47 PM,10/17/2025 11:45 AM - 10/17/2025 12:06 PM,Disorderly Conduct,345 East 24th Street,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-10-17
2025-2961,10/17/2025 3:23 PM,10/17/2025 2:15 PM - 10/17/2025 2:50 PM,Larceny,Shimkin Hall,Washington Square,A student reported missing property.,Open,2025-10-17
2025-2965,10/17/2025 6:10 PM,10/15/2025 1:30 PM - 10/16/2025 10:50 AM,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Open,2025-10-17
03311-2025,10/17/2025 2:32 PM,10/17/2025 12:00 PM - 01/00/1900 12:00 AM,Disorderly Conduct,Othmer Hall,Brooklyn Commons,A faculty member reported Disorderly Conduct.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-17
03324-2025,10/18/2025 2:13 AM,10/17/2025 11:46 PM,Liquor LawViolation (x10),Gramercy Green Residence Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-18
03327-2025,10/18/2025 10:12 PM,10/18/2025 3:31 PM - 10/18/2025 8:51 PM,Larceny,University Hall,Washington Square,A student reported missing property.,Open,2025-10-18
2025-2975,10/19/2025 9:00 AM,10/19/2025 8:30 AM,Harassment (2),Washington Square Park,Washington Square,Two students reported Harassment.,Open,2025-10-19
2025-2976,10/19/2025 7:40 PM,10/19/2025 7:35 PM - 10/19/2025 7:51 PM,Harassment,Lipton Hall,Washington Square,A Security Officer reported Harassment.,Closed/ Referred to NYPD,2025-10-19
2025-2978,10/19/2025 4:16 AM,10/19/2025 4:15 PM,Disorderly Conduct,Paulson Center,Washington Square,A Campus Safety Officer reported Disorderly Conduct.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-19
2025-2990,10/20/2025 4:51 PM,10/20/2025 4:30 PM - 10/20/2025 4:35 PM,Harassment,19 W 4th Street,Washington Square,A student reported Harassment.,Open,2025-10-20
2025-2996,10/20/2025 8:03 PM,10-18-2025 - 10/20/2025,Harassment,Alumni Hall,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-10-20
2025-2980,10/20/2025 10:25 AM,10/20/2025 8:26 AM,Public Lewdness,721 Broadway,Washington Square,A student reported Public Lewdness.,Open,2025-10-20
2025-2985,10/20/2025 11:14 AM,08/09/2025 6:50 PM - 10/18/2025 2:36 AM,Stalking,Bobst Library,Washington Square,A faculty member reported Stalking.,Closed/ Referred to NYPD,2025-10-20
2025-3005,10/21/2025 8:00 PM,10/21/2025 8:00 PM - 10/21/2025 9:13 PM,Loitering,Coral Towers,Washington Square,A staff member reported Loitering.,Closed/ Referred to NYPD,2025-10-21
2025-3000,10/21/2025 6:25 AM,10/21/2025 6:00 AM - 10/21/2025 6:25 AM,Harassment,University Place between E 9th Street and E 8th Street,Washington Square,A student reported Harassment.,Open,2025-10-21
2025-3012,10/22/2025 10:32 AM,10/22/2025 10:32 AM,Harassment,Schwartz Hall,Kips Bay,A staff member reported Harassment.,Closed/ Referred to NYPD,2025-10-22
2025-3017,10/22/2025 2:35 PM,10/22/2025 2:35 PM - 10/22/2025 2:41 PM,Falsely Reporting an Incident,Alumni Relations,Washington Square,A staff member reported a Swatting call.,Closed/ Referred to NYPD,2025-10-22
2025-3025,10/23/2025 12:00 AM,10/22/2025 8:14 PM - 10/23/2025 6:00 AM,Larceny,80 Lafayette,Washington Square,A student reported missing property.,Open,2025-10-23
2025-3035,10/23/2025 1:59 PM,10/23/2025 1:59 PM - 10/23/2025 2:49 PM,Bomb Threat / Falsely Reporting an Incident,715 Broadway - Exterior,Washington Square,Campus Safety reported receiving an unfounded bomb threat.,Closed/ Referred to NYPD,2025-10-23
2025-3042,10/23/2025 9:48 PM,10-23-2025,Stalking,Gramercy Green Residence Hall,Washington Square,A student reported Stalking.,Closed/ Referred to Title IX,2025-10-23
03389-2025,10/23/2025 10:46 AM,10-16-2025,Stalking,Palladium Hall,Washington Square,A student reported Stalking.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-23
03421-2025,10/23/2025 1:50 AM,10/23/2025 1:50 AM,Domestic Violence / Harassment,Third Avenue North - Exterior,Washington Square,A Campus Safety Officer reported Domestic Violence involving Harassment.,Open,2025-10-23
2025-3030,10/23/2025 12:42 PM,10/20/2025 3:15 PM - 10/20/2025 3:20 PM,Larceny,205 Mercer Street - Exterior,Washington Square,A student reported missing property.,Open,2025-10-23
2025-3052,10/24/2025 5:26 PM,10/24/2025 5:26 PM - 10/24/2025 5:34 PM,Falsely Reporting an Incident,Bobst Library,Washington Square,NYPD reported a Falsely Reported Incident.,Closed/ Referred to NYPD,2025-10-24
2025-3049,10/24/2025 2:38 PM,10/22/2025 9:00 AM - 10/22/2025 11:30 AM,Larceny,Weissman Hall,Kips Bay,A staff member reported missing property.,Open,2025-10-24
2025-3051,10/24/2025 3:30 PM,9-2025 - 10/22/2025,Harassment,Gramercy Green,Washington Square,A student reported Harassment.,Open,2025-10-24
2025-3050,10/24/2025 3:47 PM,10/24/2025 3:47 PM - 10/24/2025 4:00 PM,Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,NYPD reported a Swatting Call.,Closed/ Referred to NYPD,2025-10-24
2025-3054,10/24/2025 7:26 PM,10/20/2025 3:50 PM - 10/24/2025 4:30 PM,Larceny,Brittany Hall,Washington Square,A student reported missing property.,Open,2025-10-24
2025-3047,10/24/2025 12:10 PM,10/23/2025 5:00 PM - 10/24/2025 10:30 PM,Larceny,Education Building,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-10-24
2025-3045,10/24/2025 11:28 AM,10/23/2025 11:15 PM - 10/23/2025 11:30 PM,Larceny / Harassment,715 Broadway,Washington Square,A student reported Larceny and Harassment.,Open,2025-10-24
2025-3044,10/24/2025 7:16 AM,10/24/2025 7:16 AM,Criminal Mischief,Bleecker Street and Wooster Street,Washington Square,A non-NYU affiliate reported Criminal Mischief.,Closed/ Referred to NYPD,2025-10-24
03426-2025,10/24/2025 1:14 AM,10/23/2025 11:04 PM,Liquor Law Violation,Rubin Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-24
2025-3046,10/24/2025 11:20 AM,10/23/2025 12:00 PM - 10/23/2025 12:30 PM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-10-24
03449-2025,10/25/2025 10:35 PM,10/25/2025 9:10 PM,Liquor Law Violation (x3),Palladium Residence Hall,Washington Square,An RA reported possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-25
03439-2025,10/25/2025 1:01 AM,10/24/2025 11:58 PM,Liquor Law Violation (x2),Third Avenue North Residence Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-25
03438-2025,10/25/2025 12:38 AM,10/24/2025 11:17 PM,Liquor Law Violation,Third Avenue North Residence Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-25
2025-3036,10/25/2025 4:30 PM,10-25-2025 3:51 PM - 10/25/2025 4:10 PM,Stalking,Silver Center,Washington Square,A student reported Stalking.,Closed/ Referred to NYPD,2025-10-25
2025-3064,10/25/2025 6:20 PM,10/25/2025 6:12 PM - 10/25/2025 6:18 PM,Larceny,Founders Hall,Washington Square,A student reported missing property.,Open,2025-10-25
2025-3075,10/26/2025 11:50 PM,10/26/2025 11:50 PM,Criminal Mischief,Bobst Library,Washington Square,A Campus Safety Officer reported property damage.,Open,2025-10-26
03479-2025,10/27/2025 3:33 PM,10-25-2025 - 10/26/2025 9:25 PM,Larceny,Paulson Center Residence Hall,Washington Square,A staff member reported missing property.,Open,2025-10-27
2025-3090,10/27/2025 6:30 PM,10/27/2025 5:45 PM - 10/27/2025 5:45 PM,Larceny,Bobst Library,Washington Square,A student reported missing property.,Open,2025-10-27
2025-3091,10/27/2025 2:17 PM,10/26/2025 10:30 AM,Harassment,Palladium Residence Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-10-27
03451-2025,10/27/2025 11:50 AM,10/25/2025 11:15 AM,Liquor Law Violation (x2),Rubin Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-27
03453-2025,10/27/2025 4:32 PM,10/25/2025 11:10 AM,Liquor Law Violation (x7),Palladium Residence Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-27
03462-2025,10/27/2025 3:47 PM,10/26/2025 2:27 PM,Harassment,Othmer Hall,Brooklyn Commons,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-27
03486-2025,10/28/2025 2:04 PM,10/27/2025 5:32 PM,Drug Law Violation,Seventh Street Residence Hall,Washington Square,A student reported a Drug Law Violation.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-28
2025-3098,10/28/2025 4:24 PM,10/28/2025 2:58 AM,Criminal Mischief,Wagner,Washington Square,A Campus Safety Officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-10-28
03505-2025,10/28/2025 2:31 PM,10/28/2025 1:15 PM,Criminal Impersonation with the Intent to Defraud,Brittany Hall,Washington Square,A staff member reported Criminal Impersonation with the Intent to Defraud.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-28
03468-2025,10/28/2025 12:06 PM,10/26/2025 8:30 PM - 10/26/2025 11:00 PM,Harassment,Palladium Residence Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-10-28
2025-3107,10/29/2025 9:35 AM,10/29/2025 9:35 AM,Harassment,West 3rd Street and LaGuardia Place,Washington Square,A student reported Harassment.,Open,2025-10-29
2025-3108,10/29/2025 10:50 AM,10/24/2025 3:30 AM - 10/29/2025 10:15 AM,Attempted Burglary / Criminal Mischief,10 Astor Place,Washington Square,A staff member reported an attempted burglary resulting in property damage.,Closed/ Referred to NYPD,2025-10-29
2025-3111,10/29/2025 11:55 AM,10/29/2025 11:55 PM - 10/29/2025 12:29 PM,Falsey Reporting an Incident,Bobst Library,Washington Square,A Campus Safety Officer reported a Swatting Call.,Closed/ Referred to NYPD,2025-10-29
2025-3115,10/29/2025 5:50 PM,10/29/2025 8:40 AM - 10/29/2025 5:00 PM,Motor Vehicle Theft,Paulson Center - Exterior,Washington Square,A student reported a stolen e-scooter.,Closed/ Referred to NYPD,2025-10-29
2025-3117,10/29/2025 6:56 PM,10/29/2025 6:50 PM - 10/29/2025 7:02 PM,Falsely Reporting an Incident,Bobst Library,Washington Square,A Campus Safety Officer reported a Swatting Call.,Closed/ Referred to NYPD,2025-10-29
2025-3120,10/29/2025 10:15 PM,10/29/2025 9:20 PM,Harassment,West 3rd Street and LaGuardia Place,Washington Square,A student reported Harassment.,Open,2025-10-29
2025-3122,10/30/2025 3:36 AM,10/30/2025 3:36 AM,Loitering,Lipton Hall,Washington Square,A Campus Safety Officer reported Loitering.,Closed/ Referred to NYPD,2025-10-30
2025-3128,10/30/2025 3:40 PM,10/30/2025 3:30 PM - 10/30/2025 3:40 PM,Larceny,404 Lafayette Street,Washington Square,A student reported missing property.,Open,2025-10-30
2025-3127,10/30/2025 1:23 PM,10/29/2025 10:50 AM - 10/30/2025 1:00 PM,Larceny,Sixth Street Residence Hall - Exterior,Washington Square,A student reported missing property.,Open,2025-10-30
